Título,Salário
Operador De Caixa,R$ 1 mil - R$ 2 mil /mês
Líder De Operações,R$ 4 mil - R$ 5 mil /mês
Mecânico Técnico III,R$ 6 mil - R$ 6 mil /mês
Engenheiro,R$ 12 mil - R$ 14 mil /mês
Motorista Tritrem,R$ 3 mil - R$ 5 mil /mês
Analista De Logística Júnior,R$ 2 mil - R$ 5 mil /mês
Auxiliar,R$ 1 mil - R$ 2 mil /mês
Jovem Aprendiz,R$ 1 mil - R$ 1 mil /mês
Técnico Em Manutenção Elétrica,R$ 5 mil - R$ 6 mil /mês
Analista De Planejamento,R$ 4 mil - R$ 6 mil /mês
Analista De Manutenção,R$ 3 mil - R$ 5 mil /mês
Analista De Comunicação,R$ 5 mil - R$ 20 mil /mês
Vendedor,R$ 1 mil - R$ 3 mil /mês
Especialista,R$ 750 - R$ 40 mil /mês
Analista Financeiro Pleno,R$ 5 mil - R$ 5 mil /mês
Assitente administrativo,R$ 4 mil - R$ 5 mil /mês
Especialista Controladoria,R$ 17 mil - R$ 17 mil /mês
Supervisor de Operações Florestais,R$ 7 mil - R$ 11 mil /mês
Assistente Administrativo,R$ 910 - R$ 997 /mês
Engenheiro Florestal,R$ 4 mil - R$ 6 mil /mês
Mecânico De Máquinas Florestais I,R$ 3 mil - R$ 3 mil /mês
Ajudante De Pesquisa,R$ 2 mil - R$ 9 mil /mês
Analista De Sistemas Pleno,R$ 5 mil - R$ 6 mil /mês
Jovem Aprendiz Administrativo,R$ 1 mil - R$ 1 mil /mês
Analista De Logística Pleno,R$ 6 mil - R$ 7 mil /mês
Líder De Manutenção,R$ 5 mil - R$ 8 mil /mês
Especialista De Manutenção,R$ 11 mil - R$ 17 mil /mês
Tratorista,R$ 1 mil - R$ 1 mil /mês
Técnico De Desenvolvimento,R$ 6 mil - R$ 6 mil /mês
Analista De Transporte,R$ 3 mil - R$ 3 mil /mês
Mecânico I,R$ 2 mil - R$ 2 mil /mês
Especialista I,R$ 8 mil - R$ 12 mil /mês
Assistente De Tecnologia,R$ 5 mil - R$ 5 mil /mês
Técnico assistente manutenção elétrica,R$ 4 mil - R$ 4 mil /mês
Assistente Administrativo II,R$ 3 mil - R$ 10 mil /mês
Analista Júnior,R$ 3 mil - R$ 4 mil /mês
Pedreiro,R$ 3 mil - R$ 3 mil /mês
Analista Pleno,R$ 2 mil - R$ 8 mil /mês
Motorista,R$ 1 mil - R$ 1 mil /mês
Analista De RH,R$ 4 mil - R$ 4 mil /mês
Especialista De Geoprocessamento,R$ 11 mil - R$ 12 mil /mês
Engenheiro Civil,R$ 7 mil - R$ 7 mil /mês
Assistente De Recebimento,R$ 2 mil - R$ 2 mil /mês
Operador De Motoniveladora,R$ 2 mil - R$ 2 mil /mês
Limpeza,R$ 1 mil - R$ 1 mil /mês
Técnico Mecânico II,R$ 8 mil - R$ 9 mil /mês
Operador,R$ 13 mil - R$ 14 mil /mês
Diretor Geral,R$ 17 mil - R$ 19 mil /mês
Operador de harvester,R$ 2 mil - R$ 3 mil /mês
Analista de Suprimentos Sr,R$ 7 mil - R$ 8 mil /mês
Mecânico De Manutenção,R$ 7 mil - R$ 7 mil /mês
Auxiliar Administrativo II,R$ 1 mil - R$ 2 mil /mês
Motorista De Carreta Prancha,R$ 3 mil - R$ 4 mil /mês
Estagi%C3%A1rio sistemas industriais,R$ 2 mil - R$ 2 mil /mês
Vendedor Autônomo,R$ 1 mil - R$ 1 mil /mês
Estágio Superior,R$ 2 mil - R$ 2 mil /mês
Analista Pleno II,R$ 6 mil - R$ 6 mil /mês
Vendedora Comercial,R$ 42 mil - R$ 46 mil /mês
Puxador De Mercadorias,R$ 1 mil - R$ 1 mil /mês
Balcanista de Açougue,R$ 2 mil - R$ 2 mil /mês
Analista de IA,R$ 9 mil - R$ 9 mil /mês
Analista Gestão e Controle,R$ 7 mil - R$ 8 mil /mês
Analista de Sistemas Industriais,R$ 6 mil - R$ 7 mil /mês
Líder manutenção mecânica,R$ 4 mil - R$ 5 mil /mês
Planejador De Manutenção Pleno,R$ 4 mil - R$ 4 mil /mês
Analista Contábil Sênior,R$ 5 mil - R$ 5 mil /mês
Motorista Tritrem,R$ 3 mil - R$ 4 mil /mês
Analista De Gestão De Contratos Júnior,R$ 4 mil - R$ 5 mil /mês
Analista De Suporte Ao Cliente Sênior,R$ 5 mil - R$ 5 mil /mês
Técnico Em Eletromecânica,R$ 1 mil - R$ 1 mil /mês
Designer,R$ 3 mil - R$ 4 mil /mês
Tecnico Em Eletrica I,R$ 5 mil - R$ 6 mil /mês
Técnico eletrica pleno,R$ 6 mil - R$ 7 mil /mês
Assistente laboratorio,R$ 2 mil - R$ 3 mil /mês
Analista Financeiro,R$ 5 mil - R$ 6 mil /mês
Estagio,R$ 1 mil - R$ 2 mil /mês
Coordenador Manutenção,R$ 17 mil - R$ 18 mil /mês
Consultor Jurídico,R$ 9 mil - R$ 10 mil /mês
Export Analyst,R$ 4 mil - R$ 4 mil /mês
Técnico De Suporte I,R$ 2 mil - R$ 2 mil /mês
Especialista De Estradas,R$ 16 mil - R$ 17 mil /mês
Analista De Logística,R$ 3 mil - R$ 4 mil /mês
UX Designer,R$ 6 mil - R$ 6 mil /mês
Lider De Manutenção Mecânica,R$ 4 mil - R$ 5 mil /mês
Motorista,R$ 970 - R$ 1 mil /mês
Motorista,R$ 956 - R$ 1 mil /mês
Técnico Em Automação Industrial,R$ 8 mil - R$ 8 mil /mês
Auxiliar Administrativo,R$ 238 - R$ 260 /mês
Coordenação,R$ 1 mil - R$ 1 mil /mês
Especialista TI II,R$ 35 mil - R$ 37 mil /mês
Analista De Software Trainee,R$ 4 mil - R$ 5 mil /mês
Líder De Expedição,R$ 3 mil - R$ 3 mil /mês
Analista De Suprimentos Sênior,R$ 8 mil - R$ 9 mil /mês
Procurement,R$ 4 mil - R$ 5 mil /mês
Líder De Almoxarifado,R$ 4 mil - R$ 4 mil /mês
Auxiliar De Manutenção,R$ 1 mil - R$ 1 mil /mês
Estagiário Superior,R$ 1 mil - R$ 1 mil /mês
Coordenador Financeiro e administrativo,R$ 16 mil - R$ 17 mil /mês
Lubrificador,R$ 5 mil - R$ 5 mil /mês
Supervisor De Logística,R$ 10 mil - R$ 10 mil /mês
Analista Administrativo Pleno,R$ 6 mil - R$ 7 mil /mês
Bombeiro Civil,R$ 1 mil - R$ 2 mil /mês
Técnico Mecânico III,R$ 7 mil - R$ 7 mil /mês
Técnico desenvolvimento ll,R$ 6 mil - R$ 6 mil /mês
Mecânico florestal,R$ 4 mil - R$ 4 mil /mês
Gerente,R$ 49 mil - R$ 53 mil /mês
Analista Controle Transporte,R$ 239 - R$ 260 /mês
Comprador,R$ 6 mil - R$ 6 mil /mês
Recepcionista Bilíngue,R$ 2 mil - R$ 2 mil /mês
Borracheiro,R$ 1 mil - R$ 2 mil /mês
Analista De Contratos Júnior,R$ 5 mil - R$ 5 mil /mês
Advogado,R$ 7 mil - R$ 7 mil /mês
Técnico Em Instrumentação II,R$ 6 mil - R$ 6 mil /mês
Analista De Comunicação Sênior,R$ 8 mil - R$ 8 mil /mês
Analista De Informações Florestais,R$ 9 mil - R$ 10 mil /mês
Operador I,R$ 3 mil - R$ 3 mil /mês
Analista Fiscal,R$ 5 mil - R$ 5 mil /mês
Aprendiz De Auxiliar Administrativo,R$ 823 - R$ 890 /mês
Jovem Aprendiz De Logística,R$ 1 mil - R$ 2 mil /mês
Estagiário De Engenharia De Produção,R$ 1 mil - R$ 1 mil /mês
Gerente Executivo,R$ 34 mil - R$ 37 mil /mês
Analista,R$ 3 mil - R$ 3 mil /mês
Analista Sr,R$ 8 mil - R$ 8 mil /mês
Motorista De Tri Trem,R$ 3 mil - R$ 3 mil /mês
Marketing,R$ 957 - R$ 1 mil /mês
Analista Florestal Sênior,R$ 11 mil - R$ 12 mil /mês
Técnico De Manutenção,R$ 3 mil - R$ 4 mil /mês
Líder De Operações Logística,R$ 4 mil - R$ 5 mil /mês
Técnico Em Manutenção Técnica,R$ 6 mil - R$ 7 mil /mês
Auxiliar De Operações Logísticas,R$ 1 mil - R$ 1 mil /mês
Auxiliar Administrativo I,R$ 2 mil - R$ 2 mil /mês
Analista Laboratório,R$ 7 mil - R$ 8 mil /mês
Gerente Tecnologia,R$ 14 mil - R$ 15 mil /mês
Auxiliar De Inventário,R$ 2 mil - R$ 2 mil /mês
Operador De Trator,R$ 3 mil - R$ 3 mil /mês
Operador,R$ 2 mil - R$ 3 mil /mês
Coordenador De Recursos Humanos (RH),R$ 12 mil - R$ 13 mil /mês
Soldador A,R$ 3 mil - R$ 3 mil /mês
Motorista D,R$ 3 mil - R$ 3 mil /mês
Estagiário De Nível Superior,R$ 1 mil - R$ 1 mil /mês
Ajudante Geral,R$ 1 mil - R$ 2 mil /mês
Técnico Em Informática,R$ 3 mil - R$ 3 mil /mês
Analyst,R$ 6 mil - R$ 6 mil /mês
Analista De Suprimentos Júnior,R$ 5 mil - R$ 5 mil /mês
Advogado Júnior,R$ 6 mil - R$ 6 mil /mês
Operador de Área Recuperação/Utilidades,R$ 6 mil - R$ 6 mil /mês
Mecânico De Máquinas Florestais,R$ 4 mil - R$ 5 mil /mês
Analista Júnior,R$ 6 mil - R$ 6 mil /mês
Supervisor Manutenção,R$ 6 mil - R$ 6 mil /mês
Tecnólogo,R$ 5 mil - R$ 5 mil /mês
Coordenador De Importação E Exportação,R$ 14 mil - R$ 15 mil /mês
Analista Administrativo II,R$ 7 mil - R$ 7 mil /mês
Especialista Manutenção,R$ 20 mil - R$ 22 mil /mês
Consultor SAP MM Sênior,R$ 12 mil - R$ 13 mil /mês
Coordenador De Segurança Do Trabalho,R$ 31 mil - R$ 33 mil /mês
Especialista De Projetos,R$ 15 mil - R$ 16 mil /mês
Mecânico II,R$ 3 mil - R$ 4 mil /mês
Inspetor De Segurança Patrimonial,R$ 2 mil - R$ 2 mil /mês
Especialista De Planejamento Logístico,R$ 15 mil - R$ 17 mil /mês
Ajudante,R$ 953 - R$ 1 mil /mês
Vigilante Patrimonial,R$ 3 mil - R$ 3 mil /mês
Analista De Planejamento Júnior,R$ 4 mil - R$ 4 mil /mês
Analista Contábil Pleno,R$ 5 mil - R$ 6 mil /mês
Mecânico Industrial,R$ 2 mil - R$ 2 mil /mês
ESTÁGIO,R$ 2 mil - R$ 2 mil /mês
Técnico De Suporte II,R$ 3 mil - R$ 3 mil /mês
Almoxarife I,R$ 3 mil - R$ 3 mil /mês
Auxiliar De Mecânico,R$ 2 mil - R$ 2 mil /mês
Auxiliar De Produção,R$ 1 mil - R$ 2 mil /mês
Analista Comercial,R$ 4 mil - R$ 5 mil /mês
Operador De Máquinas Florestais I,R$ 2 mil - R$ 3 mil /mês
Planning Specialist,R$ 14 mil - R$ 15 mil /mês
Gerente Comercial,R$ 1 mil - R$ 1 mil /mês
Coordenador De Operações I,R$ 15 mil - R$ 16 mil /mês
Eletromecânico,R$ 5 mil - R$ 6 mil /mês
Analista De Integração,R$ 3 mil - R$ 3 mil /mês
Tratorista,R$ 2 mil - R$ 2 mil /mês
Auxiliar De Almoxarifado,R$ 2 mil - R$ 2 mil /mês
Gerente Nacional De Vendas,R$ 20 mil - R$ 22 mil /mês
Auxiliar Contábil,R$ 998 - R$ 1 mil /mês
Ajudante Geral De Produção,R$ 1 mil - R$ 1 mil /mês
Operador Caldeira recuperação e Evaporação,R$ 8 mil - R$ 9 mil /mês
Motorista D,R$ 2 mil - R$ 2 mil /mês
Assistente Administrativo I,R$ 3 mil - R$ 3 mil /mês
Almoxarife A,R$ 2 mil - R$ 2 mil /mês
Operador Da Área I,R$ 3 mil - R$ 4 mil /mês
Designer Pleno,R$ 8 mil - R$ 9 mil /mês
Operador De Grúa Hidráulica,R$ 2 mil - R$ 3 mil /mês
Analista De Suprimentos,R$ 5 mil - R$ 5 mil /mês
Supervisor De Segurança Do Trabalho,R$ 10 mil - R$ 11 mil /mês
Operador De Produção,R$ 3 mil - R$ 4 mil /mês
Encarregado,R$ 4 mil - R$ 4 mil /mês
